data,descricao,categoria,valor,tipo
2026-01-01,Salário,receita,5000.00,entrada
2026-01-02,Aluguel,moradia,1200.00,saida
2026-01-03,Supermercado,alimentacao,450.00,saida
2026-01-05,Netflix,lazer,55.90,saida
2026-01-07,Farmácia,saude,89.00,saida
2026-01-10,Aporte Tesouro Selic,renda_fixa,1000.00,entrada
2026-01-10,Restaurante,alimentacao,120.00,saida
2026-01-12,Uber,transporte,45.00,saida
2026-01-15,Conta de Luz,moradia,180.00,saida
2026-01-20,Academia,saude,99.00,saida
2026-01-25,Rendimento CDB,proventos,12.50,entrada
2026-01-25,Combustível,transporte,250.00,saida
2026-02-01,Novo Aporte LCI,renda_fixa,2000.00,entrada
2026-02-10,Taxa de Custódia,taxas,10.00,saida


